# time  ID  size  fromHost  toHost  TTL  isResponse
132.0000 M1 518834 w42 gangs4 450 N 
268.0000 M2 629931 w46 gangs4 450 N 
406.0000 M3 650969 w42 gangs5 450 N 
542.0000 M4 371601 p1 gangs4 450 N 
678.0000 M5 961032 p11 gangs1 450 N 
811.0000 M6 226475 p15 gangs0 450 N 
943.0000 M7 392401 w37 gangs3 450 N 
1081.0000 M8 267273 w47 gangs2 450 N 
1207.0000 M9 262047 p8 gangs6 450 N 
1332.0000 M10 954239 p7 gangs2 450 N 
1468.0000 M11 411571 p3 gangs6 450 N 
1604.0000 M12 971091 p15 gangs4 450 N 
1746.0000 M13 375016 w37 gangs2 450 N 
1880.0000 M14 748700 c25 gangs0 450 N 
2015.0000 M15 428463 p14 gangs0 450 N 
2156.0000 M16 153631 w42 gangs3 450 N 
2284.0000 M17 519301 c21 gangs2 450 N 
