# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
473.0000 M3 650969 1 67.0000 w42 gangs5 448 N w42->c19
475.1000 M1 518834 1 343.1000 w42 gangs4 444 N w42->c19
485.3000 M1 518834 1 353.3000 w42 gangs4 444 N w42->c17
515.4000 M3 650969 1 109.4000 w42 gangs5 448 N w42->c26
584.3000 M4 371601 1 42.3000 p1 gangs4 449 N p1->c24
735.4000 M5 961032 1 57.4000 p11 gangs1 449 N p11->c22
967.4000 M4 371601 1 425.4000 p1 gangs4 442 N p1->p10
1175.9000 M2 629931 1 907.9000 w46 gangs4 434 N w46->c24
1187.0000 M5 961032 1 509.0000 p11 gangs1 441 N p11->p13
1385.4000 M1 518834 2 1253.4000 w42 gangs4 429 N w42->w37->c24
1403.7000 M10 954239 1 71.7000 p7 gangs2 448 N p7->c25
1414.1000 M8 267273 1 333.1000 w47 gangs2 444 N w47->c17
1440.2000 M2 629931 1 1172.2000 w46 gangs4 430 N w46->c19
1446.3000 M2 629931 1 1178.3000 w46 gangs4 430 N w46->c17
1481.4000 M8 267273 4 400.4000 w47 gangs2 443 N w47->w37->w42->w46->c29
1503.8000 M4 371601 1 961.8000 p1 gangs4 433 N p1->c17
1710.3000 M2 629931 2 1442.3000 w46 gangs4 425 N w46->w42->c23
1713.0000 M3 650969 1 1307.0000 w42 gangs5 428 N w42->c23
1715.1000 M1 518834 1 1583.1000 w42 gangs4 423 N w42->c23
1833.5000 M13 375016 1 87.5000 w37 gangs2 448 N w37->c17
1855.7000 M4 371601 1 1313.7000 p1 gangs4 428 N p1->c23
1883.2000 M13 375016 1 137.2000 w37 gangs2 447 N w37->c29
1903.7000 M10 954239 1 571.7000 p7 gangs2 440 N p7->c20
2037.3000 M13 375016 1 291.3000 w37 gangs2 445 N w37->c20
2038.4000 M8 267273 2 957.4000 w47 gangs2 434 N w47->w37->c20
2077.5000 M2 629931 2 1809.5000 w46 gangs4 419 N w46->w42->p1
2079.6000 M1 518834 1 1947.6000 w42 gangs4 417 N w42->p1
2086.0000 M14 748700 1 206.0000 c25 gangs0 446 N c25->p7
2237.2000 M14 748700 1 357.2000 c25 gangs0 444 N c25->c29
2253.1000 M16 153631 1 97.1000 w42 gangs3 448 N w42->p7
2254.2000 M8 267273 3 1173.2000 w47 gangs2 430 N w47->w37->w42->p7
2255.8000 M7 392401 2 1312.8000 w37 gangs3 428 N w37->w42->p7
2354.3000 M3 650969 3 1948.3000 w42 gangs5 417 N w42->w37->w47->c22
2395.1000 M7 392401 3 1452.1000 w37 gangs3 425 N w37->w42->w46->p3
