# messageDelay  cumulativeProbability
42.3000 0.0588
57.4000 0.1176
67.0000 0.1765
71.7000 0.2353
87.5000 0.2941
97.1000 0.3529
109.4000 0.4118
137.2000 0.4706
206.0000 0.5294
291.3000 0.5882
333.1000 0.6471
343.1000 0.7059
353.3000 0.7647
357.2000 0.8235
400.4000 0.8824
425.4000 0.9412
509.0000 1.0000
571.7000 1.0588
907.9000 1.1176
957.4000 1.1765
961.8000 1.2353
1172.2000 1.2941
1173.2000 1.3529
1178.3000 1.4118
1253.4000 1.4706
1307.0000 1.5294
1312.8000 1.5882
1313.7000 1.6471
1442.3000 1.7059
1452.1000 1.7647
1583.1000 1.8235
1809.5000 1.8824
1947.6000 1.9412
1948.3000 2.0000
