# time  created  delivered  delivered/created
132.0000 1 0 0.0000
268.0000 2 0 0.0000
406.0000 3 0 0.0000
473.0000 3 1 0.3333
475.1000 3 2 0.6667
485.3000 3 3 1.0000
515.4000 3 4 1.3333
542.0000 4 4 1.0000
584.3000 4 5 1.2500
678.0000 5 5 1.0000
735.4000 5 6 1.2000
811.0000 6 6 1.0000
943.0000 7 6 0.8571
967.4000 7 7 1.0000
1081.0000 8 7 0.8750
1175.9000 8 8 1.0000
1187.0000 8 9 1.1250
1207.0000 9 9 1.0000
1332.0000 10 9 0.9000
1385.4000 10 10 1.0000
1403.7000 10 11 1.1000
1414.1000 10 12 1.2000
1440.2000 10 13 1.3000
1446.3000 10 14 1.4000
1468.0000 11 14 1.2727
1481.4000 11 15 1.3636
1503.8000 11 16 1.4545
1604.0000 12 16 1.3333
1710.3000 12 17 1.4167
1713.0000 12 18 1.5000
1715.1000 12 19 1.5833
1746.0000 13 19 1.4615
1833.5000 13 20 1.5385
1855.7000 13 21 1.6154
1880.0000 14 21 1.5000
1883.2000 14 22 1.5714
1903.7000 14 23 1.6429
2015.0000 15 23 1.5333
2037.3000 15 24 1.6000
2038.4000 15 25 1.6667
2077.5000 15 26 1.7333
2079.6000 15 27 1.8000
2086.0000 15 28 1.8667
2156.0000 16 28 1.7500
2237.2000 16 29 1.8125
2253.1000 16 30 1.8750
2254.2000 16 31 1.9375
2255.8000 16 32 2.0000
2284.0000 17 32 1.8824
2354.3000 17 33 1.9412
2395.1000 17 34 2.0000
