# messageDelay  cumulativeProbability
0.2000 0.0002
0.2000 0.0003
0.2000 0.0005
0.3000 0.0007
0.3000 0.0008
0.3000 0.0010
0.3000 0.0011
0.3000 0.0013
0.3000 0.0015
0.3000 0.0016
0.4000 0.0018
0.4000 0.0020
0.4000 0.0021
0.4000 0.0023
0.4000 0.0024
0.4000 0.0026
0.4000 0.0028
0.4000 0.0029
0.4000 0.0031
0.4000 0.0033
0.4000 0.0034
0.5000 0.0036
0.5000 0.0037
0.5000 0.0039
0.5000 0.0041
0.5000 0.0042
0.5000 0.0044
0.5000 0.0046
0.5000 0.0047
0.5000 0.0049
0.5000 0.0050
0.5000 0.0052
0.6000 0.0054
0.6000 0.0055
0.6000 0.0057
0.6000 0.0059
0.6000 0.0060
0.6000 0.0062
0.6000 0.0063
0.6000 0.0065
0.6000 0.0067
0.6000 0.0068
0.6000 0.0070
0.6000 0.0072
0.7000 0.0073
0.7000 0.0075
0.7000 0.0076
0.7000 0.0078
0.7000 0.0080
0.7000 0.0081
0.7000 0.0083
0.7000 0.0085
0.7000 0.0086
0.7000 0.0088
0.7000 0.0089
0.8000 0.0091
0.8000 0.0093
0.8000 0.0094
0.8000 0.0096
0.8000 0.0098
0.8000 0.0099
0.8000 0.0101
0.8000 0.0102
0.8000 0.0104
0.8000 0.0106
0.8000 0.0107
0.8000 0.0109
0.8000 0.0111
0.8000 0.0112
0.8000 0.0114
0.8000 0.0116
0.8000 0.0117
0.8000 0.0119
0.9000 0.0120
0.9000 0.0122
0.9000 0.0124
0.9000 0.0125
0.9000 0.0127
0.9000 0.0129
0.9000 0.0130
0.9000 0.0132
0.9000 0.0133
0.9000 0.0135
0.9000 0.0137
0.9000 0.0138
1.0000 0.0140
1.0000 0.0142
1.0000 0.0143
1.0000 0.0145
1.0000 0.0146
1.0000 0.0148
1.0000 0.0150
1.0000 0.0151
1.0000 0.0153
1.0000 0.0155
1.0000 0.0156
1.1000 0.0158
1.1000 0.0159
1.1000 0.0161
1.1000 0.0163
1.1000 0.0164
1.1000 0.0166
1.1000 0.0168
1.2000 0.0169
1.2000 0.0171
1.2000 0.0172
1.2000 0.0174
1.3000 0.0176
1.3000 0.0177
1.3000 0.0179
1.4000 0.0181
1.4000 0.0182
1.4000 0.0184
1.4000 0.0185
1.4000 0.0187
1.4000 0.0189
1.4000 0.0190
1.5000 0.0192
1.5000 0.0194
1.5000 0.0195
1.5000 0.0197
1.5000 0.0198
1.5000 0.0200
1.6000 0.0202
1.6000 0.0203
1.6000 0.0205
1.7000 0.0207
1.8000 0.0208
1.9000 0.0210
2.0000 0.0211
2.1000 0.0213
2.2000 0.0215
2.5000 0.0216
2.7000 0.0218
2.7000 0.0220
3.1000 0.0221
3.2000 0.0223
3.3000 0.0224
3.5000 0.0226
4.6000 0.0228
4.6000 0.0229
5.6000 0.0231
5.9000 0.0233
6.4000 0.0234
7.3000 0.0236
7.3000 0.0238
7.6000 0.0239
7.7000 0.0241
8.0000 0.0242
9.0000 0.0244
9.6000 0.0246
9.6000 0.0247
10.6000 0.0249
11.1000 0.0251
11.6000 0.0252
12.2000 0.0254
12.5000 0.0255
12.9000 0.0257
13.6000 0.0259
13.9000 0.0260
14.5000 0.0262
14.7000 0.0264
15.1000 0.0265
15.5000 0.0267
15.9000 0.0268
16.6000 0.0270
17.0000 0.0272
17.7000 0.0273
18.9000 0.0275
18.9000 0.0277
19.3000 0.0278
19.7000 0.0280
20.1000 0.0281
20.4000 0.0283
20.9000 0.0285
21.2000 0.0286
22.1000 0.0288
23.6000 0.0290
24.5000 0.0291
24.5000 0.0293
24.9000 0.0294
25.5000 0.0296
25.5000 0.0298
25.7000 0.0299
26.2000 0.0301
27.7000 0.0303
27.9000 0.0304
28.3000 0.0306
28.3000 0.0307
29.1000 0.0309
29.6000 0.0311
29.7000 0.0312
29.9000 0.0314
30.3000 0.0316
30.5000 0.0317
30.6000 0.0319
30.9000 0.0320
31.2000 0.0322
32.0000 0.0324
32.6000 0.0325
32.7000 0.0327
32.7000 0.0329
33.2000 0.0330
33.2000 0.0332
33.4000 0.0333
33.4000 0.0335
34.4000 0.0337
34.5000 0.0338
34.9000 0.0340
35.8000 0.0342
35.9000 0.0343
36.2000 0.0345
36.6000 0.0347
37.5000 0.0348
38.1000 0.0350
38.6000 0.0351
39.3000 0.0353
40.0000 0.0355
40.8000 0.0356
40.9000 0.0358
41.2000 0.0360
41.4000 0.0361
41.5000 0.0363
41.8000 0.0364
42.4000 0.0366
42.7000 0.0368
43.1000 0.0369
43.3000 0.0371
43.4000 0.0373
44.1000 0.0374
45.4000 0.0376
45.7000 0.0377
45.7000 0.0379
45.8000 0.0381
46.4000 0.0382
46.6000 0.0384
46.8000 0.0386
47.5000 0.0387
47.5000 0.0389
47.7000 0.0390
48.2000 0.0392
48.8000 0.0394
49.0000 0.0395
49.8000 0.0397
50.3000 0.0399
50.5000 0.0400
50.8000 0.0402
51.3000 0.0403
51.5000 0.0405
51.6000 0.0407
51.6000 0.0408
52.6000 0.0410
53.5000 0.0412
54.1000 0.0413
54.8000 0.0415
55.3000 0.0416
55.5000 0.0418
56.0000 0.0420
56.6000 0.0421
57.3000 0.0423
57.3000 0.0425
57.4000 0.0426
57.4000 0.0428
57.9000 0.0429
58.1000 0.0431
58.3000 0.0433
58.5000 0.0434
59.3000 0.0436
59.5000 0.0438
59.7000 0.0439
59.9000 0.0441
61.0000 0.0442
61.6000 0.0444
62.0000 0.0446
62.2000 0.0447
62.8000 0.0449
63.6000 0.0451
63.6000 0.0452
63.8000 0.0454
64.3000 0.0456
64.7000 0.0457
64.7000 0.0459
65.3000 0.0460
65.6000 0.0462
65.7000 0.0464
66.1000 0.0465
66.2000 0.0467
66.2000 0.0469
66.4000 0.0470
66.5000 0.0472
66.9000 0.0473
67.4000 0.0475
67.6000 0.0477
67.8000 0.0478
67.9000 0.0480
68.1000 0.0482
71.3000 0.0483
71.4000 0.0485
71.6000 0.0486
71.9000 0.0488
72.4000 0.0490
73.9000 0.0491
74.5000 0.0493
74.5000 0.0495
74.8000 0.0496
75.2000 0.0498
75.2000 0.0499
75.3000 0.0501
75.7000 0.0503
75.7000 0.0504
76.5000 0.0506
76.5000 0.0508
76.7000 0.0509
77.1000 0.0511
77.1000 0.0512
77.1000 0.0514
78.2000 0.0516
78.4000 0.0517
78.5000 0.0519
78.7000 0.0521
79.0000 0.0522
80.5000 0.0524
80.6000 0.0525
80.9000 0.0527
81.2000 0.0529
81.4000 0.0530
81.6000 0.0532
81.8000 0.0534
81.9000 0.0535
82.2000 0.0537
83.1000 0.0538
83.1000 0.0540
83.5000 0.0542
83.6000 0.0543
83.6000 0.0545
83.6000 0.0547
83.9000 0.0548
84.2000 0.0550
84.3000 0.0551
85.7000 0.0553
86.0000 0.0555
86.1000 0.0556
86.5000 0.0558
86.9000 0.0560
87.8000 0.0561
88.8000 0.0563
88.9000 0.0565
90.0000 0.0566
90.2000 0.0568
90.3000 0.0569
91.2000 0.0571
91.6000 0.0573
92.4000 0.0574
92.4000 0.0576
92.5000 0.0578
92.5000 0.0579
92.6000 0.0581
93.0000 0.0582
93.0000 0.0584
93.6000 0.0586
94.0000 0.0587
94.3000 0.0589
95.4000 0.0591
95.5000 0.0592
96.3000 0.0594
96.4000 0.0595
96.5000 0.0597
98.0000 0.0599
99.9000 0.0600
100.1000 0.0602
100.6000 0.0604
100.7000 0.0605
101.5000 0.0607
101.9000 0.0608
102.1000 0.0610
102.2000 0.0612
102.3000 0.0613
102.6000 0.0615
102.8000 0.0617
103.3000 0.0618
104.0000 0.0620
104.3000 0.0621
104.5000 0.0623
105.5000 0.0625
105.8000 0.0626
106.0000 0.0628
106.2000 0.0630
106.8000 0.0631
106.9000 0.0633
107.3000 0.0634
107.9000 0.0636
108.2000 0.0638
108.9000 0.0639
109.0000 0.0641
109.6000 0.0643
109.7000 0.0644
